CVE,commit_file_location,git_repo_location,work_dir
CVE-2024-37310,/path/to/commit_info/EVerest@@everest-core/CVE-2024-37310_f73620c4c0f626e1097068a47e10cc27b369ad8e.diff,/path/to/signature/repo/EVerest@@everest-core,/path/to/work
CVE-2023-6749,/path/to/commit_info/zephyrproject-rtos@@zephyr/CVE-2023-6749_8977784afee870e107f639ace7a4b5cd57cfaeb6.diff,/path/to/signature/repo/zephyrproject-rtos@@zephyr,/path/to/work
CVE-2024-35385,/path/to/commit_info/cesanta@@mjs/CVE-2024-35385_b1b6eac6b1e5b830a5cb14f8f4dc690ef3162551.diff,/path/to/signature/repo/cesanta@@mjs,/path/to/work
CVE-2024-25678,/path/to/commit_info/litespeedtech@@lsquic/CVE-2024-25678_515f453556c99d27c4dddb5424898dc1a5537708.diff,/path/to/signature/repo/litespeedtech@@lsquic,/path/to/work
CVE-2023-28626,/path/to/commit_info/commonmark@@cmark/CVE-2023-28626_6c9b4d75cb9e98a7f225e9873045326dffd8b6c6.diff,/path/to/signature/repo/commonmark@@cmark,/path/to/work
CVE-2023-5568,/path/to/commit_info/samba-team@@samba/CVE-2023-5568_f0da8219262ba7c3e066d4f519063edf26f36b88.diff,/path/to/signature/repo/samba-team@@samba,/path/to/work
CVE-2023-49286,/path/to/commit_info/squid-cache@@squid/CVE-2023-49286_6014c6648a2a54a4ecb7f952ea1163e0798f9264.diff,/path/to/signature/repo/squid-cache@@squid,/path/to/work
CVE-2023-46871,/path/to/commit_info/gpac@@gpac/CVE-2023-46871_03760e34d32e502a0078b20d15ea83ecaf453a5c.diff,/path/to/signature/repo/gpac@@gpac,/path/to/work
CVE-2023-39150,/path/to/commit_info/Maximus5@@ConEmu/CVE-2023-39150_60683a186628ffaa7689fcb64b3c38ced69287c1.diff,/path/to/signature/repo/Maximus5@@ConEmu,/path/to/work
CVE-2023-4756,/path/to/commit_info/gpac@@gpac/CVE-2023-4756_6914d016e2b540bac2c471c4aea156ddef8e8e01.diff,/path/to/signature/repo/gpac@@gpac,/path/to/work
CVE-2024-1929,/path/to/commit_info/rpm-software-management@@dnf5/CVE-2024-1929_6e51bf2f0d585ab661806076c1e428c6482ddf86.diff,/path/to/signature/repo/rpm-software-management@@dnf5,/path/to/work
CVE-2024-2002,/path/to/commit_info/davea42@@libdwarf-code/CVE-2024-2002_404e6b1b14f60c81388d50b4239f81d461b3c3ad.diff,/path/to/signature/repo/davea42@@libdwarf-code,/path/to/work
CVE-2024-30187,/path/to/commit_info/anope@@anope/CVE-2024-30187_2b7872139c40ea5b0ca96c1d6595b7d5f9fa60a5.diff,/path/to/signature/repo/anope@@anope,/path/to/work
CVE-2023-6249,/path/to/commit_info/zephyrproject-rtos@@zephyr/CVE-2023-6249_899d4f997e6eebd7e647beeb123dc5deb2821cc9.diff,/path/to/signature/repo/zephyrproject-rtos@@zephyr,/path/to/work
CVE-2023-46724,/path/to/commit_info/squid-cache@@squid/CVE-2023-46724_b70f864940225dfe69f9f653f948e787f99c3810.diff,/path/to/signature/repo/squid-cache@@squid,/path/to/work
CVE-2024-37371,/path/to/commit_info/krb5@@krb5/CVE-2024-37371_55fbf435edbe2e92dd8101669b1ce7144bc96fef.diff,/path/to/signature/repo/krb5@@krb5,/path/to/work
CVE-2023-47465,/path/to/commit_info/gpac@@gpac/CVE-2023-47465_613dbc5702b09063b101cfc3d6ad74b45ad87521.diff,/path/to/signature/repo/gpac@@gpac,/path/to/work
CVE-2023-0397,/path/to/commit_info/zephyrproject-rtos@@zephyr/CVE-2023-0397_c3f512d60673b53692b59e832ea62162d22fced1.diff,/path/to/signature/repo/zephyrproject-rtos@@zephyr,/path/to/work
CVE-2023-52076,/path/to/commit_info/mate-desktop@@atril/CVE-2023-52076_e70b21c815418a1e6ebedf6d8d31b8477c03ba50.diff,/path/to/signature/repo/mate-desktop@@atril,/path/to/work
CVE-2023-29421,/path/to/commit_info/kspalaiologos@@bzip3/CVE-2023-29421_33b1951f153c3c5dc8ed736b9110437e1a619b7d.diff,/path/to/signature/repo/kspalaiologos@@bzip3,/path/to/work
CVE-2023-1901,/path/to/commit_info/zephyrproject-rtos@@zephyr/CVE-2023-1901_a6e5755da883556b6ae79fd44e56fe2687340ca4.diff,/path/to/signature/repo/zephyrproject-rtos@@zephyr,/path/to/work
